"Story","Title","Result","Date","Stability","Duration (s)"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Get Assistance"" tab","SKIPPED","2018-02-07T12:00:29.052-05:00[America/New_York]","0.0","42.56"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Information"" tab","SKIPPED","2018-02-07T12:01:11.613-05:00[America/New_York]","0.0","40.55"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""About Us"" tab","SKIPPED","2018-02-07T12:01:52.167-05:00[America/New_York]","0.0","24.33"
"Regression checklist spanish","(Spanish) Homepage - Header - All the menu links on the ""Help"" tab","SKIPPED","2018-02-07T12:02:16.5-05:00[America/New_York]","0.0","26.33"
"Regression checklist spanish","(Spanish) Homepage - Key Links - Main links on homepage to assert that the Spanish pages open correctly","SKIPPED","2018-02-07T12:02:42.837-05:00[America/New_York]","0.0","28.35"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - States in the Spanish declared disaster map are clickable","SKIPPED","2018-02-07T12:03:11.191-05:00[America/New_York]","0.0","10.14"
"Regression checklist spanish","(Spanish) Homepage - Currently declared disasters - The declared states on the declared disaster map","SKIPPED","2018-02-07T12:03:21.337-05:00[America/New_York]","0.0","10.15"
"Regression checklist spanish","(Spanish) Homepage - Find Local Resources flows correctly in Spanish","SKIPPED","2018-02-07T12:03:31.489-05:00[America/New_York]","0.0","14.13"
"Regression checklist spanish","(Spanish) News Feeds - All of the titles on the page","SKIPPED","2018-02-07T12:03:45.625-05:00[America/New_York]","0.0","10.15"
"Regression checklist spanish","(Spanish) Community Leaders - Results of the quick search items","SKIPPED","2018-02-07T12:03:55.776-05:00[America/New_York]","0.0","36.57"
"Regression checklist spanish","(Spanish) Homepage - Address Look-Up - Declared disasters","SUCCESS","2018-02-07T12:04:32.348-05:00[America/New_York]","0.0","10.4"
"Regression checklist spanish","(Spanish) Find Assistance - Spanish benefits results display according to use cases","SKIPPED","2018-02-07T12:04:42.803-05:00[America/New_York]","0.0","13.16"
"Regression checklist spanish","(Spanish) Find Assistance - Dynamically verify results of the questionnaire","SKIPPED","2018-02-07T12:04:55.965-05:00[America/New_York]","0.0","28.3"
"Regression checklist spanish","(Spanish) Find Assistance - All the functionality of the FOA questionnaire","SUCCESS","2018-02-07T12:05:24.269-05:00[America/New_York]","0.0","33.08"
"Regression checklist spanish","(Spanish) News Feeds - FEMA Twitter feed is present","SKIPPED","2018-02-07T12:05:57.401-05:00[America/New_York]","0.0","10.13"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the first seven types","SKIPPED","2018-02-07T12:06:07.537-05:00[America/New_York]","0.0","20.26"
"Regression checklist spanish","(Spanish) Forms of Assistance - Category Type filter with the next eight types","SKIPPED","2018-02-07T12:06:27.804-05:00[America/New_York]","0.0","20.29"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the first seven types","SKIPPED","2018-02-07T12:06:48.1-05:00[America/New_York]","0.0","20.26"
"Regression checklist spanish","(Spanish) Forms of Assistance - Federal Agency filter with the next seven types","SKIPPED","2018-02-07T12:07:08.367-05:00[America/New_York]","0.0","20.29"
